Time,Channel A,Channel B
(ms),(mV),(mV)

4.23367204,0.17839570,-0.54133860
4.26700804,0.17224410,-0.46136810
4.30034404,0.17839570,-0.30757870
4.33368004,0.17839570,-0.21530510
4.36701604,0.17839570,-0.09842519
4.40035205,0.18454720,-0.00615157
4.43368805,0.18454720,0.07997046
4.46702405,0.18454720,0.11072830
4.50036005,0.19069880,0.12303150
4.53369605,0.19069880,0.17839570
4.56703205,0.19069880,0.14763780
4.60036805,0.19685040,0.14763780
4.63370405,0.19069880,0.16609250
4.66704005,0.19069880,0.19069880
4.70037605,0.19685040,0.22760820
4.73371205,0.20300200,0.22760820
4.76704805,0.20915350,0.23991140
4.80038405,0.20300200,0.30142710
4.83372005,0.20300200,0.31373030
4.86705605,0.20300200,0.29527560
4.90039205,0.20300200,0.31373030
4.93372805,0.21530510,0.31988190
4.96706405,0.20915350,0.34448820
5.00040005,0.22145670,0.32603340
5.03373605,0.22760820,0.29527560
5.06707205,0.22760820,0.28297240
5.10040805,0.23375980,0.28297240
5.13374405,0.24606300,0.25221450
5.16708005,0.24606300,0.26451770
5.20041605,0.25221450,0.22145670
5.23375205,0.25836610,0.19685040
5.26708805,0.26451770,0.20915350
5.30042405,0.27682080,0.18454720
5.33376005,0.28912400,0.17224410
5.36709606,0.28912400,0.14763780
5.40043206,0.29527560,0.14148620
5.43376806,0.29527560,0.12918310
5.46710406,0.30757870,0.09842519
5.50044006,0.31988190,0.06766732
5.53377606,0.32603340,0.02460630
5.56711206,0.33833660,0.04306102
5.60044806,0.35679130,0.04921259
5.63378406,0.35679130,0.06766732
5.66712006,0.36294290,0.09842519
5.70045606,0.37524600,0.08612204
5.73379206,0.36909450,0.15378940
5.76712806,0.38139760,0.27682080
5.80046406,0.39370070,0.30142710
5.83380006,0.40600390,0.41830710
5.86713606,0.40600390,0.51058070
5.90047206,0.40600390,0.61515740
5.93380806,0.41830710,0.67667320
5.96714406,0.42445860,0.72588580
6.00048006,0.43676180,0.83661410
6.03381606,0.43676180,0.92888770
6.06715206,0.43676180,0.95349410
6.10048806,0.44291340,0.94119090
6.13382406,0.46136810,0.99655500
6.16716006,0.46136810,0.99655500
6.20049606,0.47367120,0.97810030
6.23383206,0.48597440,0.97810030
6.26716806,0.49827750,0.90428140
6.30050406,0.50442900,0.83661410
6.33384007,0.51673230,0.77509840
6.36717607,0.52288380,0.68897630
6.40051207,0.52903540,0.53518700
6.43384807,0.53518700,0.43061020
6.46718407,0.55364170,0.26451770
6.50052007,0.55364170,0.13533460
6.53385607,0.55979330,-0.02460630
6.56719207,0.57209640,-0.19069880
6.60052807,0.57209640,-0.35679130
6.63386407,0.57824800,-0.51673230
6.66720007,0.57209640,-0.71358260
6.70053607,0.58439960,-0.81815940
6.73387207,0.57209640,-0.94119090
6.76720807,0.57209640,-1.08882900
6.80054407,0.57824800,-1.10113200
6.83388007,0.59055110,-1.17495100
6.86721607,0.59055110,-1.18110200
6.90055207,0.60285430,-1.18110200
6.93388807,0.60900590,-1.07652500
6.96722407,0.60900590,-0.95964560
7.00056007,0.60900590,-0.83046260
7.03389607,0.60900590,-0.63976370
7.06723207,0.60900590,-0.44906490
7.10056807,0.60900590,-0.18454720
7.13390407,0.60900590,0.07381889
7.16724007,0.60900590,0.31988190
7.20057607,0.61515740,0.63361220
7.23391207,0.61515740,0.87352360
7.26724807,0.60900590,1.14419300
7.30058407,0.59055110,1.37180100
7.33392008,0.58439960,1.57480300
7.36725608,0.58439960,1.68553100
7.40059208,0.58439960,1.79626000
7.43392808,0.58439960,1.82086600
7.46726408,0.57824800,1.80241100
7.50060008,0.57824800,1.72859200
7.53393608,0.57824800,1.60556100
7.56727208,0.57209640,1.43331700
7.60060808,0.57209640,1.24877000
7.63394408,0.56594490,0.99655500
7.66728008,0.55364170,0.76279520
7.70061608,0.55364170,0.47367120
7.73395208,0.54133860,0.17839570
7.76728808,0.53518700,-0.04921259
7.80062408,0.51673230,-0.30757870
7.83396008,0.51058070,-0.50442900
7.86729608,0.50442900,-0.65206690
7.90063208,0.49827750,-0.74434050
7.93396808,0.49212600,-0.83046260
7.96730408,0.46751960,-0.84891720
8.00064008,0.44906490,-0.84891720
8.03397608,0.44906490,-0.84891720
8.06731208,0.43676180,-0.79355310
8.10064808,0.42445860,-0.72588580
8.13398408,0.41215550,-0.70127950
8.16732008,0.39370070,-0.68897630
8.20065608,0.38754920,-0.69512790
8.23399208,0.37524600,-0.70743110
8.26732808,0.35679130,-0.73203740
8.30066409,0.34448820,-0.76279520
8.33400009,0.33218500,-0.86122040
8.36733609,0.30142710,-0.91043300
8.40067209,0.27682080,-0.98425190
8.43400809,0.27066930,-1.02116100
8.46734409,0.25836610,-0.99655500
8.50068009,0.23991140,-0.97810030
8.53401609,0.22760820,-0.91043300
8.56735209,0.20915350,-0.79355310
8.60068809,0.19069880,-0.70127950
8.63402409,0.17224410,-0.55364170
8.66736009,0.14763780,-0.39985230
8.70069609,0.13533460,-0.26451770
8.73403209,0.11687990,-0.12303150
8.76736809,0.11072830,-0.02460630
8.80070409,0.09227362,0.02460630
8.83404009,0.07997046,0.05536417
8.86737609,0.06766732,0.04921259
8.90071209,0.04921259,-0.01845472
8.93404809,0.02460630,-0.08612204
8.96738409,0.01230315,-0.23375980
9.00072009,0.00000000,-0.35063970
9.03405609,-0.00615157,-0.47367120
9.06739209,-0.01845472,-0.63361220
9.10072809,-0.03690945,-0.79355310
9.13406409,-0.04921259,-0.91043300
9.16740009,-0.07997046,-0.99040350
9.20073609,-0.09227362,-1.10113200
9.23407209,-0.11072830,-1.18110200
9.26740810,-0.12303150,-1.27952700
9.30074410,-0.13533460,-1.39640700
9.33408010,-0.14148620,-1.43946800
9.36741610,-0.15994090,-1.50713600
9.40075210,-0.16609250,-1.52559000
9.43408810,-0.17224410,-1.58095500
9.46742410,-0.17224410,-1.63016700
9.50076010,-0.19069880,-1.66092500
9.53409610,-0.19685040,-1.62401600
9.56743210,-0.20300200,-1.62401600
9.60076810,-0.20915350,-1.56865100
9.63410410,-0.21530510,-1.50713600
9.66744010,-0.22145670,-1.45792300
9.70077610,-0.23375980,-1.37795300
